Table Name,Column Name,Data Type,PK,FK Table,FK Column,Comment
gw_mail_temp_4,status_code,varchar(50),,,,Status Code
gw_mail_temp_4,data_col_0,int,,,,Random data column 0
gw_chat_temp_5,id,bigint,Y,,,Primary Key
gw_chat_temp_5,created_at,timestamp,,,,Creation Date
gw_chat_temp_5,updated_at,timestamp,,,,Modification Date
gw_chat_temp_5,status_code,varchar(50),,,,Status Code
gw_chat_temp_5,data_col_0,int,,,,Random data column 0
gw_chat_temp_5,data_col_1,int,,,,Random data column 1
gw_chat_temp_5,data_col_2,text,,,,Random data column 2
gw_chat_temp_5,data_col_3,int,,,,Random data column 3
gw_chat_temp_5,data_col_4,int,,,,Random data column 4
gw_chat_temp_5,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_drive_master_6,id,bigint,Y,,,Primary Key
gw_drive_master_6,created_at,timestamp,,,,Creation Date
gw_drive_master_6,updated_at,timestamp,,,,Modification Date
gw_drive_master_6,status_code,varchar(50),,,,Status Code
gw_drive_master_6,data_col_0,text,,,,Random data column 0
gw_drive_master_6,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_drive_master_6,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_calendar_summary_7,id,bigint,Y,,,Primary Key
gw_calendar_summary_7,created_at,timestamp,,,,Creation Date
gw_calendar_summary_7,updated_at,timestamp,,,,Modification Date
gw_calendar_summary_7,status_code,varchar(50),,,,Status Code
gw_calendar_summary_7,data_col_0,boolean,,,,Random data column 0
gw_calendar_summary_7,data_col_1,int,,,,Random data column 1
gw_calendar_summary_7,data_col_2,int,,,,Random data column 2
gw_calendar_summary_7,data_col_3,text,,,,Random data column 3
gw_calendar_summary_7,data_col_4,json,,,,Random data column 4
gw_tasks_log_8,id,bigint,Y,,,Primary Key
gw_tasks_log_8,created_at,timestamp,,,,Creation Date
gw_tasks_log_8,updated_at,timestamp,,,,Modification Date
gw_tasks_log_8,status_code,varchar(50),,,,Status Code
gw_tasks_log_8,data_col_0,json,,,,Random data column 0
gw_tasks_log_8,data_col_1,json,,,,Random data column 1
gw_tasks_log_8,data_col_2,varchar(255),,,,Random data column 2
gw_tasks_log_8,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_workflow_archive_9,id,bigint,Y,,,Primary Key
gw_workflow_archive_9,created_at,timestamp,,,,Creation Date
gw_workflow_archive_9,updated_at,timestamp,,,,Modification Date
gw_workflow_archive_9,status_code,varchar(50),,,,Status Code
gw_workflow_archive_9,data_col_0,text,,,,Random data column 0
gw_workflow_archive_9,data_col_1,boolean,,,,Random data column 1
gw_workflow_archive_9,data_col_2,int,,,,Random data column 2
gw_workflow_archive_9,data_col_3,boolean,,,,Random data column 3
gw_workflow_archive_9,data_col_4,boolean,,,,Random data column 4
gw_workflow_archive_9,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_portal_config_10,id,bigint,Y,,,Primary Key
gw_portal_config_10,created_at,timestamp,,,,Creation Date
gw_portal_config_10,updated_at,timestamp,,,,Modification Date
gw_portal_config_10,status_code,varchar(50),,,,Status Code
gw_portal_config_10,data_col_0,json,,,,Random data column 0
gw_portal_config_10,data_col_1,json,,,,Random data column 1
gw_finance_tag_11,id,bigint,Y,,,Primary Key
gw_finance_tag_11,created_at,timestamp,,,,Creation Date
gw_finance_tag_11,updated_at,timestamp,,,,Modification Date
gw_finance_tag_11,status_code,varchar(50),,,,Status Code
gw_finance_tag_11,data_col_0,varchar(255),,,,Random data column 0
gw_assets_history_12,id,bigint,Y,,,Primary Key
gw_assets_history_12,created_at,timestamp,,,,Creation Date
gw_assets_history_12,updated_at,timestamp,,,,Modification Date
gw_assets_history_12,status_code,varchar(50),,,,Status Code
gw_assets_history_12,data_col_0,int,,,,Random data column 0
gw_assets_history_12,data_col_1,varchar(255),,,,Random data column 1
gw_assets_history_12,data_col_2,int,,,,Random data column 2
gw_assets_history_12,data_col_3,text,,,,Random data column 3
gw_assets_history_12,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_assets_history_12,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_support_summary_13,id,bigint,Y,,,Primary Key
gw_support_summary_13,created_at,timestamp,,,,Creation Date
gw_support_summary_13,updated_at,timestamp,,,,Modification Date
gw_support_summary_13,status_code,varchar(50),,,,Status Code
gw_support_summary_13,data_col_0,varchar(255),,,,Random data column 0
gw_support_summary_13,data_col_1,json,,,,Random data column 1
gw_support_summary_13,data_col_2,boolean,,,,Random data column 2
gw_analytics_rule_14,id,bigint,Y,,,Primary Key
gw_analytics_rule_14,created_at,timestamp,,,,Creation Date
gw_analytics_rule_14,updated_at,timestamp,,,,Modification Date
gw_analytics_rule_14,status_code,varchar(50),,,,Status Code
gw_analytics_rule_14,data_col_0,int,,,,Random data column 0
gw_analytics_rule_14,data_col_1,boolean,,,,Random data column 1
gw_analytics_rule_14,data_col_2,boolean,,,,Random data column 2
gw_analytics_rule_14,data_col_3,json,,,,Random data column 3
gw_analytics_rule_14,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_core_record_15,id,bigint,Y,,,Primary Key
gw_core_record_15,created_at,timestamp,,,,Creation Date
gw_core_record_15,updated_at,timestamp,,,,Modification Date
gw_core_record_15,status_code,varchar(50),,,,Status Code
gw_core_record_15,data_col_0,varchar(255),,,,Random data column 0
gw_core_record_15,data_col_1,boolean,,,,Random data column 1
gw_core_record_15,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_core_record_15,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_auth_event_16,id,bigint,Y,,,Primary Key
gw_auth_event_16,created_at,timestamp,,,,Creation Date
gw_auth_event_16,updated_at,timestamp,,,,Modification Date
gw_auth_event_16,status_code,varchar(50),,,,Status Code
gw_auth_event_16,data_col_0,text,,,,Random data column 0
gw_auth_event_16,data_col_1,int,,,,Random data column 1
gw_auth_event_16,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_hr_group_17,id,bigint,Y,,,Primary Key
gw_hr_group_17,created_at,timestamp,,,,Creation Date
gw_hr_group_17,updated_at,timestamp,,,,Modification Date
gw_hr_group_17,status_code,varchar(50),,,,Status Code
gw_hr_group_17,data_col_0,json,,,,Random data column 0
gw_hr_group_17,data_col_1,varchar(255),,,,Random data column 1
gw_hr_group_17,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_hr_group_17,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_crm_group_18,id,bigint,Y,,,Primary Key
gw_crm_group_18,created_at,timestamp,,,,Creation Date
gw_crm_group_18,updated_at,timestamp,,,,Modification Date
gw_crm_group_18,status_code,varchar(50),,,,Status Code
gw_crm_group_18,data_col_0,json,,,,Random data column 0
gw_crm_group_18,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_crm_group_18,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_mail_backup_19,id,bigint,Y,,,Primary Key
gw_mail_backup_19,created_at,timestamp,,,,Creation Date
gw_mail_backup_19,updated_at,timestamp,,,,Modification Date
gw_mail_backup_19,status_code,varchar(50),,,,Status Code
gw_mail_backup_19,data_col_0,int,,,,Random data column 0
gw_chat_group_20,id,bigint,Y,,,Primary Key
gw_chat_group_20,created_at,timestamp,,,,Creation Date
gw_chat_group_20,updated_at,timestamp,,,,Modification Date
gw_chat_group_20,status_code,varchar(50),,,,Status Code
gw_chat_group_20,data_col_0,text,,,,Random data column 0
gw_chat_group_20,data_col_1,boolean,,,,Random data column 1
gw_chat_group_20,data_col_2,json,,,,Random data column 2
gw_chat_group_20,data_col_3,int,,,,Random data column 3
gw_chat_group_20,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_drive_relation_21,id,bigint,Y,,,Primary Key
gw_drive_relation_21,created_at,timestamp,,,,Creation Date
gw_drive_relation_21,updated_at,timestamp,,,,Modification Date
gw_drive_relation_21,status_code,varchar(50),,,,Status Code
gw_drive_relation_21,data_col_0,boolean,,,,Random data column 0
gw_drive_relation_21,data_col_1,text,,,,Random data column 1
gw_drive_relation_21,data_col_2,boolean,,,,Random data column 2
gw_calendar_status_22,id,bigint,Y,,,Primary Key
gw_calendar_status_22,created_at,timestamp,,,,Creation Date
gw_calendar_status_22,updated_at,timestamp,,,,Modification Date
gw_calendar_status_22,status_code,varchar(50),,,,Status Code
gw_calendar_status_22,data_col_0,text,,,,Random data column 0
gw_calendar_status_22,data_col_1,boolean,,,,Random data column 1
gw_tasks_event_23,id,bigint,Y,,,Primary Key
gw_tasks_event_23,created_at,timestamp,,,,Creation Date
gw_tasks_event_23,updated_at,timestamp,,,,Modification Date
gw_tasks_event_23,status_code,varchar(50),,,,Status Code
gw_tasks_event_23,data_col_0,text,,,,Random data column 0
gw_tasks_event_23,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_tasks_event_23,auth_role_1_id,bigint,,gw_auth_role_1,id,Foreign Key to gw_auth_role_1
gw_workflow_item_24,id,bigint,Y,,,Primary Key
gw_workflow_item_24,created_at,timestamp,,,,Creation Date
gw_workflow_item_24,updated_at,timestamp,,,,Modification Date
gw_workflow_item_24,status_code,varchar(50),,,,Status Code
gw_workflow_item_24,data_col_0,int,,,,Random data column 0
gw_portal_rule_25,id,bigint,Y,,,Primary Key
gw_portal_rule_25,created_at,timestamp,,,,Creation Date
gw_portal_rule_25,updated_at,timestamp,,,,Modification Date
gw_portal_rule_25,status_code,varchar(50),,,,Status Code
gw_portal_rule_25,data_col_0,boolean,,,,Random data column 0
gw_portal_rule_25,data_col_1,boolean,,,,Random data column 1
gw_portal_rule_25,data_col_2,varchar(255),,,,Random data column 2
gw_portal_rule_25,data_col_3,json,,,,Random data column 3
gw_portal_rule_25,crm_file_3_id,bigint,,gw_crm_file_3,id,Foreign Key to gw_crm_file_3
gw_finance_master_26,id,bigint,Y,,,Primary Key
gw_finance_master_26,created_at,timestamp,,,,Creation Date
gw_finance_master_26,updated_at,timestamp,,,,Modification Date
gw_finance_master_26,status_code,varchar(50),,,,Status Code
gw_finance_master_26,data_col_0,boolean,,,,Random data column 0
gw_finance_master_26,data_col_1,varchar(255),,,,Random data column 1
gw_finance_master_26,data_col_2,text,,,,Random data column 2
gw_finance_master_26,data_col_3,int,,,,Random data column 3
gw_finance_master_26,crm_file_3_id,bigint,,gw_crm_file_3,id,Foreign Key to gw_crm_file_3
gw_finance_master_26,chat_temp_5_id,bigint,,gw_chat_temp_5,id,Foreign Key to gw_chat_temp_5
gw_assets_history_27,id,bigint,Y,,,Primary Key
gw_assets_history_27,created_at,timestamp,,,,Creation Date
gw_assets_history_27,updated_at,timestamp,,,,Modification Date
gw_assets_history_27,status_code,varchar(50),,,,Status Code
gw_assets_history_27,data_col_0,varchar(255),,,,Random data column 0
gw_assets_history_27,data_col_1,json,,,,Random data column 1
gw_assets_history_27,chat_temp_5_id,bigint,,gw_chat_temp_5,id,Foreign Key to gw_chat_temp_5
gw_assets_history_27,hr_summary_2_id,bigint,,gw_hr_summary_2,id,Foreign Key to gw_hr_summary_2
gw_support_user_28,id,bigint,Y,,,Primary Key
gw_support_user_28,created_at,timestamp,,,,Creation Date
gw_support_user_28,updated_at,timestamp,,,,Modification Date
gw_support_user_28,status_code,varchar(50),,,,Status Code
gw_support_user_28,data_col_0,text,,,,Random data column 0
gw_support_user_28,data_col_1,varchar(255),,,,Random data column 1
gw_analytics_relation_29,id,bigint,Y,,,Primary Key
gw_analytics_relation_29,created_at,timestamp,,,,Creation Date
gw_analytics_relation_29,updated_at,timestamp,,,,Modification Date
gw_analytics_relation_29,status_code,varchar(50),,,,Status Code
gw_analytics_relation_29,data_col_0,json,,,,Random data column 0
gw_analytics_relation_29,data_col_1,varchar(255),,,,Random data column 1
gw_analytics_relation_29,data_col_2,varchar(255),,,,Random data column 2
gw_analytics_relation_29,data_col_3,text,,,,Random data column 3
gw_analytics_relation_29,data_col_4,json,,,,Random data column 4
gw_analytics_relation_29,mail_temp_4_id,bigint,,gw_mail_temp_4,id,Foreign Key to gw_mail_temp_4
gw_analytics_relation_29,chat_temp_5_id,bigint,,gw_chat_temp_5,id,Foreign Key to gw_chat_temp_5
gw_core_temp_30,id,bigint,Y,,,Primary Key
gw_core_temp_30,created_at,timestamp,,,,Creation Date
gw_core_temp_30,updated_at,timestamp,,,,Modification Date
gw_core_temp_30,status_code,varchar(50),,,,Status Code
gw_core_temp_30,data_col_0,text,,,,Random data column 0
gw_core_temp_30,data_col_1,text,,,,Random data column 1
gw_core_temp_30,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_auth_history_31,id,bigint,Y,,,Primary Key
gw_auth_history_31,created_at,timestamp,,,,Creation Date
gw_auth_history_31,updated_at,timestamp,,,,Modification Date
gw_auth_history_31,status_code,varchar(50),,,,Status Code
gw_auth_history_31,data_col_0,int,,,,Random data column 0
gw_auth_history_31,data_col_1,boolean,,,,Random data column 1
gw_auth_history_31,data_col_2,text,,,,Random data column 2
gw_auth_history_31,data_col_3,text,,,,Random data column 3
gw_auth_history_31,data_col_4,boolean,,,,Random data column 4
gw_hr_file_32,id,bigint,Y,,,Primary Key
gw_hr_file_32,created_at,timestamp,,,,Creation Date
gw_hr_file_32,updated_at,timestamp,,,,Modification Date
gw_hr_file_32,status_code,varchar(50),,,,Status Code
gw_hr_file_32,data_col_0,varchar(255),,,,Random data column 0
gw_hr_file_32,data_col_1,varchar(255),,,,Random data column 1
gw_hr_file_32,data_col_2,int,,,,Random data column 2
gw_hr_file_32,data_col_3,int,,,,Random data column 3
gw_crm_item_33,id,bigint,Y,,,Primary Key
gw_crm_item_33,created_at,timestamp,,,,Creation Date
gw_crm_item_33,updated_at,timestamp,,,,Modification Date
gw_crm_item_33,status_code,varchar(50),,,,Status Code
gw_crm_item_33,data_col_0,int,,,,Random data column 0
gw_crm_item_33,data_col_1,varchar(255),,,,Random data column 1
gw_crm_item_33,data_col_2,boolean,,,,Random data column 2
gw_crm_item_33,data_col_3,json,,,,Random data column 3
gw_crm_item_33,data_col_4,text,,,,Random data column 4
gw_crm_item_33,drive_master_6_id,bigint,,gw_drive_master_6,id,Foreign Key to gw_drive_master_6
gw_crm_item_33,workflow_archive_9_id,bigint,,gw_workflow_archive_9,id,Foreign Key to gw_workflow_archive_9
gw_mail_archive_34,id,bigint,Y,,,Primary Key
gw_mail_archive_34,created_at,timestamp,,,,Creation Date
gw_mail_archive_34,updated_at,timestamp,,,,Modification Date
gw_mail_archive_34,status_code,varchar(50),,,,Status Code
gw_mail_archive_34,data_col_0,boolean,,,,Random data column 0
gw_mail_archive_34,data_col_1,text,,,,Random data column 1
gw_mail_archive_34,data_col_2,text,,,,Random data column 2
gw_mail_archive_34,data_col_3,boolean,,,,Random data column 3
gw_mail_archive_34,data_col_4,text,,,,Random data column 4
gw_chat_event_35,id,bigint,Y,,,Primary Key
gw_chat_event_35,created_at,timestamp,,,,Creation Date
gw_chat_event_35,updated_at,timestamp,,,,Modification Date
gw_chat_event_35,status_code,varchar(50),,,,Status Code
gw_chat_event_35,data_col_0,varchar(255),,,,Random data column 0
gw_chat_event_35,data_col_1,int,,,,Random data column 1
gw_chat_event_35,data_col_2,varchar(255),,,,Random data column 2
gw_chat_event_35,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_drive_archive_36,id,bigint,Y,,,Primary Key
gw_drive_archive_36,created_at,timestamp,,,,Creation Date
gw_drive_archive_36,updated_at,timestamp,,,,Modification Date
gw_drive_archive_36,status_code,varchar(50),,,,Status Code
gw_drive_archive_36,data_col_0,json,,,,Random data column 0
gw_drive_archive_36,core_record_15_id,bigint,,gw_core_record_15,id,Foreign Key to gw_core_record_15
gw_drive_archive_36,mail_temp_4_id,bigint,,gw_mail_temp_4,id,Foreign Key to gw_mail_temp_4
gw_calendar_archive_37,id,bigint,Y,,,Primary Key
gw_calendar_archive_37,created_at,timestamp,,,,Creation Date
gw_calendar_archive_37,updated_at,timestamp,,,,Modification Date
gw_calendar_archive_37,status_code,varchar(50),,,,Status Code
gw_calendar_archive_37,data_col_0,int,,,,Random data column 0
gw_calendar_archive_37,data_col_1,boolean,,,,Random data column 1
gw_tasks_detail_38,id,bigint,Y,,,Primary Key
gw_tasks_detail_38,created_at,timestamp,,,,Creation Date
gw_tasks_detail_38,updated_at,timestamp,,,,Modification Date
gw_tasks_detail_38,status_code,varchar(50),,,,Status Code
gw_tasks_detail_38,data_col_0,text,,,,Random data column 0
gw_tasks_detail_38,data_col_1,boolean,,,,Random data column 1
gw_workflow_item_39,id,bigint,Y,,,Primary Key
gw_workflow_item_39,created_at,timestamp,,,,Creation Date
gw_workflow_item_39,updated_at,timestamp,,,,Modification Date
gw_workflow_item_39,status_code,varchar(50),,,,Status Code
gw_workflow_item_39,data_col_0,json,,,,Random data column 0
gw_workflow_item_39,data_col_1,boolean,,,,Random data column 1
gw_workflow_item_39,data_col_2,json,,,,Random data column 2
gw_portal_record_40,id,bigint,Y,,,Primary Key
gw_portal_record_40,created_at,timestamp,,,,Creation Date
gw_portal_record_40,updated_at,timestamp,,,,Modification Date
gw_portal_record_40,status_code,varchar(50),,,,Status Code
gw_portal_record_40,data_col_0,int,,,,Random data column 0
gw_portal_record_40,data_col_1,int,,,,Random data column 1
gw_portal_record_40,data_col_2,text,,,,Random data column 2
gw_portal_record_40,data_col_3,boolean,,,,Random data column 3
gw_portal_record_40,data_col_4,varchar(255),,,,Random data column 4
gw_finance_role_41,id,bigint,Y,,,Primary Key
gw_finance_role_41,created_at,timestamp,,,,Creation Date
gw_finance_role_41,updated_at,timestamp,,,,Modification Date
gw_finance_role_41,status_code,varchar(50),,,,Status Code
gw_finance_role_41,data_col_0,json,,,,Random data column 0
gw_finance_role_41,data_col_1,text,,,,Random data column 1
gw_finance_role_41,data_col_2,varchar(255),,,,Random data column 2
gw_finance_role_41,data_col_3,varchar(255),,,,Random data column 3
gw_finance_role_41,data_col_4,json,,,,Random data column 4
gw_finance_role_41,chat_temp_5_id,bigint,,gw_chat_temp_5,id,Foreign Key to gw_chat_temp_5
gw_assets_rule_42,id,bigint,Y,,,Primary Key
gw_assets_rule_42,created_at,timestamp,,,,Creation Date
gw_assets_rule_42,updated_at,timestamp,,,,Modification Date
gw_assets_rule_42,status_code,varchar(50),,,,Status Code
gw_assets_rule_42,data_col_0,boolean,,,,Random data column 0
gw_assets_rule_42,drive_relation_21_id,bigint,,gw_drive_relation_21,id,Foreign Key to gw_drive_relation_21
gw_support_tag_43,id,bigint,Y,,,Primary Key
gw_support_tag_43,created_at,timestamp,,,,Creation Date
gw_support_tag_43,updated_at,timestamp,,,,Modification Date
gw_support_tag_43,status_code,varchar(50),,,,Status Code
gw_support_tag_43,data_col_0,boolean,,,,Random data column 0
gw_support_tag_43,data_col_1,json,,,,Random data column 1
gw_support_tag_43,tasks_log_8_id,bigint,,gw_tasks_log_8,id,Foreign Key to gw_tasks_log_8
gw_support_tag_43,workflow_archive_9_id,bigint,,gw_workflow_archive_9,id,Foreign Key to gw_workflow_archive_9
gw_analytics_backup_44,id,bigint,Y,,,Primary Key
gw_analytics_backup_44,created_at,timestamp,,,,Creation Date
gw_analytics_backup_44,updated_at,timestamp,,,,Modification Date
gw_analytics_backup_44,status_code,varchar(50),,,,Status Code
gw_analytics_backup_44,data_col_0,text,,,,Random data column 0
gw_analytics_backup_44,tasks_event_23_id,bigint,,gw_tasks_event_23,id,Foreign Key to gw_tasks_event_23
gw_analytics_backup_44,mail_temp_4_id,bigint,,gw_mail_temp_4,id,Foreign Key to gw_mail_temp_4
gw_core_temp_45,id,bigint,Y,,,Primary Key
gw_core_temp_45,created_at,timestamp,,,,Creation Date
gw_core_temp_45,updated_at,timestamp,,,,Modification Date
gw_core_temp_45,status_code,varchar(50),,,,Status Code
gw_core_temp_45,data_col_0,varchar(255),,,,Random data column 0
gw_auth_backup_46,id,bigint,Y,,,Primary Key
gw_auth_backup_46,created_at,timestamp,,,,Creation Date
gw_auth_backup_46,updated_at,timestamp,,,,Modification Date
gw_auth_backup_46,status_code,varchar(50),,,,Status Code
gw_auth_backup_46,data_col_0,int,,,,Random data column 0
gw_auth_backup_46,data_col_1,int,,,,Random data column 1
gw_auth_backup_46,data_col_2,int,,,,Random data column 2
gw_auth_backup_46,calendar_summary_7_id,bigint,,gw_calendar_summary_7,id,Foreign Key to gw_calendar_summary_7
gw_auth_backup_46,portal_config_10_id,bigint,,gw_portal_config_10,id,Foreign Key to gw_portal_config_10
gw_hr_status_47,id,bigint,Y,,,Primary Key
gw_hr_status_47,created_at,timestamp,,,,Creation Date
gw_hr_status_47,updated_at,timestamp,,,,Modification Date
gw_hr_status_47,status_code,varchar(50),,,,Status Code
gw_hr_status_47,data_col_0,int,,,,Random data column 0
gw_hr_status_47,data_col_1,int,,,,Random data column 1
gw_hr_status_47,data_col_2,boolean,,,,Random data column 2
gw_hr_status_47,data_col_3,boolean,,,,Random data column 3
gw_hr_status_47,data_col_4,json,,,,Random data column 4
gw_crm_rule_48,id,bigint,Y,,,Primary Key
gw_crm_rule_48,created_at,timestamp,,,,Creation Date
gw_crm_rule_48,updated_at,timestamp,,,,Modification Date
gw_crm_rule_48,status_code,varchar(50),,,,Status Code
gw_crm_rule_48,data_col_0,text,,,,Random data column 0
gw_crm_rule_48,data_col_1,varchar(255),,,,Random data column 1
gw_crm_rule_48,chat_temp_5_id,bigint,,gw_chat_temp_5,id,Foreign Key to gw_chat_temp_5
gw_mail_file_49,id,bigint,Y,,,Primary Key
gw_mail_file_49,created_at,timestamp,,,,Creation Date
gw_mail_file_49,updated_at,timestamp,,,,Modification Date
gw_mail_file_49,status_code,varchar(50),,,,Status Code
gw_mail_file_49,data_col_0,text,,,,Random data column 0
gw_mail_file_49,data_col_1,json,,,,Random data column 1
gw_mail_file_49,data_col_2,varchar(255),,,,Random data column 2
gw_mail_file_49,data_col_3,varchar(255),,,,Random data column 3
gw_mail_file_49,crm_file_3_id,bigint,,gw_crm_file_3,id,Foreign Key to gw_crm_file_3
gw_chat_role_50,id,bigint,Y,,,Primary Key
gw_chat_role_50,created_at,timestamp,,,,Creation Date
gw_chat_role_50,updated_at,timestamp,,,,Modification Date
gw_chat_role_50,status_code,varchar(50),,,,Status Code
gw_chat_role_50,data_col_0,varchar(255),,,,Random data column 0
gw_chat_role_50,data_col_1,text,,,,Random data column 1
gw_chat_role_50,data_col_2,json,,,,Random data column 2
gw_chat_role_50,data_col_3,varchar(255),,,,Random data column 3
gw_drive_detail_51,id,bigint,Y,,,Primary Key
gw_drive_detail_51,created_at,timestamp,,,,Creation Date
gw_drive_detail_51,updated_at,timestamp,,,,Modification Date
gw_drive_detail_51,status_code,varchar(50),,,,Status Code
gw_drive_detail_51,data_col_0,text,,,,Random data column 0
gw_drive_detail_51,data_col_1,boolean,,,,Random data column 1
gw_drive_detail_51,data_col_2,boolean,,,,Random data column 2
gw_drive_detail_51,auth_event_16_id,bigint,,gw_auth_event_16,id,Foreign Key to gw_auth_event_16
gw_calendar_file_52,id,bigint,Y,,,Primary Key
gw_calendar_file_52,created_at,timestamp,,,,Creation Date
gw_calendar_file_52,updated_at,timestamp,,,,Modification Date
gw_calendar_file_52,status_code,varchar(50),,,,Status Code
gw_calendar_file_52,data_col_0,int,,,,Random data column 0
gw_calendar_file_52,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_calendar_file_52,portal_config_10_id,bigint,,gw_portal_config_10,id,Foreign Key to gw_portal_config_10
gw_tasks_archive_53,id,bigint,Y,,,Primary Key
gw_tasks_archive_53,created_at,timestamp,,,,Creation Date
gw_tasks_archive_53,updated_at,timestamp,,,,Modification Date
gw_tasks_archive_53,status_code,varchar(50),,,,Status Code
gw_tasks_archive_53,data_col_0,boolean,,,,Random data column 0
gw_tasks_archive_53,data_col_1,int,,,,Random data column 1
gw_tasks_archive_53,data_col_2,boolean,,,,Random data column 2
gw_tasks_archive_53,data_col_3,varchar(255),,,,Random data column 3
gw_tasks_archive_53,data_col_4,varchar(255),,,,Random data column 4
gw_workflow_config_54,id,bigint,Y,,,Primary Key
gw_workflow_config_54,created_at,timestamp,,,,Creation Date
gw_workflow_config_54,updated_at,timestamp,,,,Modification Date
gw_workflow_config_54,status_code,varchar(50),,,,Status Code
gw_workflow_config_54,data_col_0,text,,,,Random data column 0
gw_workflow_config_54,data_col_1,text,,,,Random data column 1
gw_workflow_config_54,data_col_2,text,,,,Random data column 2
gw_workflow_config_54,data_col_3,json,,,,Random data column 3
gw_workflow_config_54,data_col_4,json,,,,Random data column 4
gw_portal_archive_55,id,bigint,Y,,,Primary Key
gw_portal_archive_55,created_at,timestamp,,,,Creation Date
gw_portal_archive_55,updated_at,timestamp,,,,Modification Date
gw_portal_archive_55,status_code,varchar(50),,,,Status Code
gw_portal_archive_55,data_col_0,text,,,,Random data column 0
gw_portal_archive_55,calendar_status_22_id,bigint,,gw_calendar_status_22,id,Foreign Key to gw_calendar_status_22
gw_finance_log_56,id,bigint,Y,,,Primary Key
gw_finance_log_56,created_at,timestamp,,,,Creation Date
gw_finance_log_56,updated_at,timestamp,,,,Modification Date
gw_finance_log_56,status_code,varchar(50),,,,Status Code
